subject_id,example_id,start_ms,phoneme,total_duration_s,mean_rms,f0_mean_voiced_hz,voiced_ratio,voicing_decision,total_sound_frames,unvoiced_frames_count,full_filename
2,4,1,ぜ,0.196,0.04527188092470169,108.87195603841155,0.625,Voiced,8,3,S02_004_01_ぜ.wav
2,6,16,ぜ,0.288,0.04274909198284149,109.21551265945394,1.0,Voiced,13,0,S02_006_16_ぜ.wav
2,6,18,ぜ,0.287,0.0,0.0,0.0,Unvoiced,0,0,S02_006_18_ぜ.wav
2,8,10,ぜ,0.345,0.05195359140634537,110.94407117744991,0.8461538461538461,Voiced,13,2,S02_008_10_ぜ.wav
3,4,1,ぜ,0.21,0.06438887864351273,119.81917611843588,1.0,Voiced,19,0,S03_004_01_ぜ.wav
3,6,16,ぜ,0.29698412698412696,0.044974129647016525,124.0620472973312,1.0,Voiced,26,0,S03_006_16_ぜ.wav
3,6,18,ぜ,0.2970068027210884,0.03904489427804947,120.03443153174227,0.7307692307692307,Voiced,26,7,S03_006_18_ぜ.wav
3,8,10,ぜ,0.326984126984127,0.061006810516119,132.6757948799046,0.782608695652174,Voiced,23,5,S03_008_10_ぜ.wav
4,4,1,ぜ,0.217,0.02040228061378002,83.28116377247414,1.0,Voiced,13,0,S04_004_01_ぜ.wav
4,6,16,ぜ,0.276,0.050687287002801895,83.38575444945172,0.9615384615384616,Voiced,26,1,S04_006_16_ぜ.wav
4,6,18,ぜ,0.276,0.023180408403277397,79.40499299246756,0.7692307692307693,Voiced,26,6,S04_006_18_ぜ.wav
4,8,10,ぜ,0.321,0.04437422752380371,81.08257438726488,0.7096774193548387,Voiced,31,9,S04_008_10_ぜ.wav
1,3,1,ぞ,0.259,0.06747420132160187,148.38192018232746,0.9,Voiced,10,1,S01_003_01_ぞ.wav
1,5,1,ぞ,0.263,0.0,0.0,0.0,Unvoiced,0,0,S01_005_01_ぞ.wav
1,9,1,ぞ,0.264,0.0,0.0,0.0,Unvoiced,0,0,S01_009_01_ぞ.wav
2,3,1,ぞ,0.206,0.03039965219795704,0.0,0.0,Unvoiced,6,6,S02_003_01_ぞ.wav
2,5,1,ぞ,0.243,0.0,0.0,0.0,Unvoiced,0,0,S02_005_01_ぞ.wav
2,9,1,ぞ,0.239,0.0,0.0,0.0,Unvoiced,0,0,S02_009_01_ぞ.wav
3,3,1,ぞ,0.27798185941043085,0.011057133786380291,0.0,0.0,Unvoiced,4,4,S03_003_01_ぞ.wav
3,5,1,ぞ,0.22498866213151927,0.12107155472040176,129.35363418344457,0.8571428571428571,Voiced,14,2,S03_005_01_ぞ.wav
3,9,1,ぞ,0.30698412698412697,0.017018554732203484,0.0,0.0,Unvoiced,11,11,S03_009_01_ぞ.wav
4,3,1,ぞ,0.228,0.02505750209093094,82.27455142863802,1.0,Voiced,13,0,S04_003_01_ぞ.wav
4,5,1,ぞ,0.234,0.015983082354068756,78.53833290270632,1.0,Voiced,5,0,S04_005_01_ぞ.wav
4,9,1,ぞ,0.259,0.02623646706342697,81.57952602197717,1.0,Voiced,13,0,S04_009_01_ぞ.wav
1,2,8,ず,0.327,0.05946449190378189,160.15865562157302,0.9354838709677419,Voiced,31,2,S01_002_08_ず.wav
